视频ID,标题,频道名,发布时间,观看次数,时长,缩略图,点赞数,描述
2VgMtZAqf-Q,【热歌速递📮神仙翻唱】30个2024必听神仙翻唱！好听到爆 让人瞬间忘记原唱！姚晓棠 | 杨宗纬 | 张碧晨 | 高音质必听,浙江音乐纯享频道,N/A,"1,081,245",1:50:30,https://i.ytimg.com/vi/2VgMtZAqf-Q/hqdefault.jpg,0,
_aNcyq16WHo,抖音神曲2024【2024抖音热歌】💥 douyin 抖音歌曲2024 🎵 抖音2024最火💋八月熱門歌曲最火🔥2024流行歌曲【抖音破億神曲】大陸流行歌曲2024,熱歌 Playlist,N/A,"2,441,641",37:24,https://i.ytimg.com/vi/_aNcyq16WHo/hqdefault.jpg,0,
xTY0SlyVfCQ,ジブリリラクシング||ジブリピアノ💓リラクシングミュージック🎶🎶千と千尋の神隠し、天空の城ラピュタ、ハウルの動く城、..,Ghibli Piano Music,N/A,"11,269,238",5:04:56,https://i.ytimg.com/vi/xTY0SlyVfCQ/hqdefault.jpg,0,
6m0xbFKKPx0,3時間の心を落ち着かせる睡眠音楽🎵ストレス解消音楽、リラックスした睡眠音楽（My Dream）,힐링트리뮤직 Healing Tree Music & Sounds,N/A,"26,839,351",3:04:51,https://i.ytimg.com/vi/6m0xbFKKPx0/hqdefault.jpg,0,
3tLMuiu7tWc,[R&B Relax 23] Cozy music / Chill / For work / Ballad / Relax / Coffee,AI MUSIC MATRIX,N/A,"840,398",1:02:11,https://i.ytimg.com/vi/3tLMuiu7tWc/hqdefault.jpg,0,
3XV72JYMj_c,脳の疲れをとり最高級の休息へ 自律神経を整える音楽　α波リラックス効果抜群 【超特殊音源】ストレス軽減 ヒーリング 睡眠 集中力アップ アンチエイジング 瞑想 休息に ★32,Godspeed Sleep-Relaxing-Healing music,N/A,"7,408,150",3:00:01,https://i.ytimg.com/vi/3XV72JYMj_c/hqdefault.jpg,0,
-jgEswq9ZlI,ストレス解消のためのスムーズなジャズ ピアノ バラード ☕ 居心地の良いカフェの雰囲気でリラックスできるジャズ音楽,Era Vibes,N/A,"1,568,363",3:00:58,https://i.ytimg.com/vi/-jgEswq9ZlI/hqdefault.jpg,0,
2MjhxpJPqsA,"經典粵語歌曲 - 香港90年代流行經典廣東歌回顧 | 必听经典粤语歌 - Cantonese Golden Songs: 張學友，陳慧嫻，叶丽仪, 张国荣, 谭咏麟, 陈慧娴, 陈百强, 梅艳芳",Memories 70's 80's 90's,N/A,"3,088,064",2:10:22,https://i.ytimg.com/vi/2MjhxpJPqsA/hqdefault.jpg,0,
LfJUZPk6J3s,心身の緊張が緩和、ホルモンバランス整う、自律神経が回復、ストレス解消、深い眠り【睡眠用bgm・水の音・リラックス 音楽・眠れる音楽・癒し 音楽】⭐️18,Godspeed Sleep-Relaxing-Healing music,N/A,"4,183,230",4:36:04,https://i.ytimg.com/vi/LfJUZPk6J3s/hqdefault.jpg,0,
COGXH8sZZ2k,「広告なし版」 超集中! 集中力のための勉強音楽 📚 最高のサウンド BGM - 静かな作業と一人読書 1 時間 集中力のための勉強音楽,Morning & Relax,N/A,"9,537,758",1:29:15,https://i.ytimg.com/vi/COGXH8sZZ2k/hqdefault.jpg,0,
